provider_id|provider_specialty|first_name|middle_name|last_name
47259|Urology|Bessie|B|Kuphal
17847|Cardiology|Candice|C|Block
61554|Psychiatry|Margaret|B|Bartell
81254|Gastroenterology|Lenny|B|Brown
67427|Rheumatology|Julien|B|Daugherty
60537|Sports Medicine|Rowena|A|Mertz
59071|Cardiology|Napoleon|A|Barrows
86128|Chiropractic|Roy|C|Reichel
16802|Dermatology|Lavon|C|Stokes
46275|General Practice|Tiara|A|Leannon
24489|Psychiatry|Brenna|A|Hayes
72985|Psychiatry|Jose|A|Stoltenberg
40364|Nephrology|Garfield|C|Kunde
79757|Nephrology|Bernadette|B|Mertz
47591|Dermatology|Verner|C|Strosin
1229|Dermatology|Jensen|C|Walker
66820|Urology|Nettie|B|MacGyver
12696|Psychiatry|Trent|A|Hagenes
18655|General Practice|Alysson|B|Wolff
93100|Chiropractic|Wilfredo|B|Borer
58911|Geriatric Medicine|Rolando|B|Langworth
45558|Urology|Antoinette|A|Wisoky
22331|Optometry|Anissa|A|Pfannerstill
68627|Geriatric Medicine|Lorenz|A|Emmerich
73462|Geriatric Medicine|Jazlyn|B|Runolfsson
10393|Unknown Provider|Pauline|C|Satterfield
49557|Cardiology|Amanda|A|Abbott
9818|Urology|Arthur|C|Collins
69499|Optometry|Odie|B|Harber
78525|Internal Medicine|Sabrina|C|Heathcote
45355|Geriatric Medicine|Princess|B|Greenholt
69247|Gastroenterology|Allen|B|Koepp
22570|Nephrology|Broderick|A|Huel
58031|Optometry|Jarrell|C|Walsh
52957|Psychiatry|Hassie|C|Hilll
73373|Psychiatry|Rudy|A|Block
55131|Sports Medicine|Kamren|A|Heidenreich
31822|Urology|Elliott|C|Schneider
84177|Dermatology|Guiseppe|C|Stanton
31794|Sports Medicine|Wyman|A|Conroy
70764|Optometry|Ward|C|Johns
66784|Chiropractic|Alanna|A|Wunsch
98355|General Practice|Moses|C|Corwin
14407|Urology|Hershel|C|Pagac
26377|Cardiology|Dejah|A|O'Hara
